Año;Mes;Movistar;Claro;Entel PCS;Virgin;VTR Móvil;GTD Móvil;Mundo Pacífico;Total de conexiones 2G;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Dic;1.497.195;520.777;1.034.073;na;na;na;na;3.052.045;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Ene;1.454.584;530.803;1.040.563;na;na;na;na;3.025.950;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Feb;1.390.818;539.051;1.046.565;na;na;na;na;2.976.434;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Mar;1.480.224;555.293;997.248;na;na;na;na;3.032.765;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Abr;1.467.814;568.310;988.209;na;na;na;na;3.024.333;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;May;1.539.339;584.083;1.088.984;na;na;na;na;3.212.406;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Jun;1.572.132;601.200;1.111.531;na;na;na;na;3.284.863;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Jul;1.660.625;635.923;1.148.537;na;na;na;na;3.445.085;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Ago;1.637.417;649.229;1.074.566;na;na;na;na;3.361.212;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Sep;1.614.685;648.573;1.104.418;na;na;na;na;3.367.676;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Oct;1.761.193;653.631;1.112.257;na;na;na;na;3.527.081;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Nov;1.778.553;703.622;1.135.457;na;na;na;na;3.617.632;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Dic;1.855.805;801.917;1.152.055;na;na;na;na;3.809.777;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Ene;1.559.756;810.907;1.170.020;na;na;na;na;3.540.683;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Feb;1.537.925;761.516;1.182.963;na;na;na;na;3.482.404;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Mar;1.543.151;790.929;1.175.276;na;na;na;na;3.509.356;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Abr;1.533.752;779.670;1.193.971;na;na;na;na;3.507.393;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;May;1.650.689;638.697;1.244.111;na;na;na;na;3.533.497;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Jun;1.833.065;712.174;1.205.058;na;na;na;na;3.750.297;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Jul;1.899.280;821.808;1.228.529;na;na;na;na;3.949.617;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Ago;2.049.937;901.299;1.249.839;na;na;na;na;4.201.075;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Sep;2.122.670;859.517;1.306.057;na;na;na;na;4.288.244;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Oct;2.205.152;763.546;1.378.487;na;na;na;na;4.347.185;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Nov;2.173.943;757.308;1.463.181;na;na;na;na;4.394.432;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Dic;2.348.366;919.318;1.535.035;na;na;na;na;4.802.719;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Ene;2.371.005;740.447;1.327.644;na;na;2;na;4.439.098;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Feb;2.238.955;754.134;1.305.632;na;na;2;na;4.298.723;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Mar;2.428.922;743.975;1.224.078;na;na;na;na;4.396.975;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Abr;2.289.502;720.619;1.331.332;na;na;na;na;4.341.453;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;May;2.255.321;713.658;1.233.257;na;na;na;na;4.202.236;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Jun;2.178.746;694.605;1.244.261;na;14;na;na;4.117.626;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Jul;2.150.400;668.210;1.352.812;na;610;na;na;4.172.032;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Ago;2.108.427;658.029;1.555.390;na;822;na;na;4.322.668;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Sep;2.061.777;642.473;1.596.372;na;978;na;na;4.301.600;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Oct;2.035.202;640.603;1.315.190;na;1.114;na;na;3.992.109;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Nov;1.963.194;628.527;1.349.733;na;1.248;na;na;3.942.702;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Dic;1.988.940;684.543;1.313.119;na;1.992;na;na;3.988.594;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Ene;1.934.227;674.673;1.455.582;na;2.130;1;na;4.066.613;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Feb;1.797.999;623.803;1.432.301;na;1.671;1;na;3.855.775;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Mar;1.632.777;554.505;1.568.356;na;2.096;202;na;3.757.936;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Abr;1.660.426;499.602;1.585.736;na;2.361;192;na;3.748.317;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;May;1.713.876;401.500;1.668.858;na;2.463;201;na;3.786.898;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Jun;1.649.695;448.166;1.739.868;na;2.653;188;na;3.840.570;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Jul;1.623.684;351.353;1.741.319;na;2.512;164;na;3.719.032;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Ago;1.619.615;331.692;1.751.784;na;2.222;179;na;3.705.492;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Sep;1.580.975;313.447;1.776.787;na;1.819;171;na;3.673.199;;;;;;;;;;;;;;;;;;;;;;;;;;
